landlord_models,landlord_up_models,landlord_down_models,ensemble_method,wp_landlord,wp_farmers,adp_landlord,adp_farmers
perfectdou,perfectdou,perfectdou,vote,0.3838,0.6162,-0.6052,0.6052
perfectdou,perfectdou,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3994,0.6006,-0.4678,0.4678
perfectdou,baselines/douzero_WP/landlord_up.ckpt,baselines/sl/landlord_down.ckpt,vote,0.4855,0.5145,0.164,-0.164
perfectdou,baselines/douzero_WP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3978,0.6022,-0.3486,0.3486
perfectdou,baselines/douzero_ADP/landlord_up.ckpt,baselines/sl/landlord_down.ckpt,vote,0.5184,0.4816,0.164,-0.164
perfectdou,baselines/douzero_ADP/landlord_up.ckpt,"baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4539,0.5461,-0.3022,0.3022
perfectdou,baselines/sl/landlord_up.ckpt,baselines/douzero_WP/landlord_down.ckpt,vote,0.4967,0.5033,0.2078,-0.2078
perfectdou,baselines/sl/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.5048,0.4952,0.2322,-0.2322
perfectdou,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt",baselines/douzero_ADP/landlord_down.ckpt,vote,0.441,0.559,-0.2826,0.2826
perfectdou,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4172,0.5828,-0.2428,0.2428
perfectdou,"baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_WP/landlord_down.ckpt,vote,0.4247,0.5753,-0.1256,0.1256
perfectdou,"baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4407,0.5593,-0.0528,0.0528
perfectdou,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_WP/landlord_down.ckpt,vote,0.4508,0.5492,-0.1254,0.1254
perfectdou,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/sl/landlord_down.ckpt,vote,0.5216,0.4784,0.2504,-0.2504
perfectdou,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4583,0.5417,-0.1618,0.1618
perfectdou,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/sl/landlord_down.ckpt,vote,0.4942,0.5058,0.1148,-0.1148
perfectdou,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4159,0.5841,-0.3578,0.3578
baselines/douzero_WP/landlord.ckpt,perfectdou,baselines/sl/landlord_down.ckpt,vote,0.4909,0.5091,-0.127,0.127
baselines/douzero_WP/landlord.ckpt,perfectdou,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4168,0.5832,-0.5772,0.5772
baselines/douzero_WP/landlord.ckpt,baselines/douzero_WP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.422,0.578,-0.3808,0.3808
baselines/douzero_WP/landlord.ckpt,baselines/douzero_ADP/landlord_up.ckpt,baselines/douzero_WP/landlord_down.ckpt,vote,0.4393,0.5607,-0.4444,0.4444
baselines/douzero_WP/landlord.ckpt,baselines/douzero_ADP/landlord_up.ckpt,baselines/sl/landlord_down.ckpt,vote,0.5264,0.4736,-0.0046,0.0046
baselines/douzero_WP/landlord.ckpt,baselines/douzero_ADP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4463,0.5537,-0.522,0.522
baselines/douzero_WP/landlord.ckpt,baselines/sl/landlord_up.ckpt,baselines/sl/landlord_down.ckpt,vote,0.5619,0.4381,0.291,-0.291
baselines/douzero_WP/landlord.ckpt,baselines/sl/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.5004,0.4996,-0.092,0.092
baselines/douzero_WP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt",baselines/sl/landlord_down.ckpt,vote,0.51,0.49,0.0024,-0.0024
baselines/douzero_WP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4316,0.5684,-0.4826,0.4826
baselines/douzero_WP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",vote,0.4569,0.5431,-0.3192,0.3192
baselines/douzero_WP/landlord.ckpt,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_WP/landlord_down.ckpt,vote,0.4562,0.5438,-0.3388,0.3388
baselines/douzero_WP/landlord.ckpt,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4924,0.5076,-0.309,0.309
baselines/douzero_WP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_ADP/landlord_down.ckpt,vote,0.4542,0.5458,-0.5178,0.5178
baselines/douzero_WP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4336,0.5664,-0.5076,0.5076
baselines/douzero_ADP/landlord.ckpt,perfectdou,baselines/sl/landlord_down.ckpt,vote,0.4494,0.5506,-0.067,0.067
baselines/douzero_ADP/landlord.ckpt,perfectdou,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3756,0.6244,-0.5002,0.5002
baselines/douzero_ADP/landlord.ckpt,baselines/douzero_WP/landlord_up.ckpt,"baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.398,0.602,-0.3512,0.3512
baselines/douzero_ADP/landlord.ckpt,baselines/douzero_ADP/landlord_up.ckpt,baselines/douzero_ADP/landlord_down.ckpt,vote,0.4283,0.5717,-0.4182,0.4182
baselines/douzero_ADP/landlord.ckpt,baselines/douzero_ADP/landlord_up.ckpt,"baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4277,0.5723,-0.3772,0.3772
baselines/douzero_ADP/landlord.ckpt,baselines/sl/landlord_up.ckpt,baselines/sl/landlord_down.ckpt,vote,0.5164,0.4836,0.3296,-0.3296
baselines/douzero_ADP/landlord.ckpt,baselines/sl/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4587,0.5413,-0.018,0.018
baselines/douzero_ADP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",vote,0.3926,0.6074,-0.3496,0.3496
baselines/douzero_ADP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_ADP/landlord_down.ckpt,vote,0.4215,0.5785,-0.2524,0.2524
baselines/douzero_ADP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4001,0.5999,-0.2666,0.2666
baselines/douzero_ADP/landlord.ckpt,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/sl/landlord_down.ckpt,vote,0.4813,0.5187,0.0796,-0.0796
baselines/douzero_ADP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",perfectdou,vote,0.3784,0.6216,-0.5208,0.5208
baselines/douzero_ADP/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",vote,0.3993,0.6007,-0.3832,0.3832
baselines/sl/landlord.ckpt,perfectdou,baselines/douzero_WP/landlord_down.ckpt,vote,0.2432,0.7568,-1.261,1.261
baselines/sl/landlord.ckpt,perfectdou,"baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.2444,0.7556,-1.2808,1.2808
baselines/sl/landlord.ckpt,baselines/douzero_WP/landlord_up.ckpt,baselines/douzero_WP/landlord_down.ckpt,vote,0.2514,0.7486,-1.092,1.092
baselines/sl/landlord.ckpt,baselines/douzero_WP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.2568,0.7432,-1.091,1.091
baselines/sl/landlord.ckpt,baselines/douzero_ADP/landlord_up.ckpt,baselines/douzero_ADP/landlord_down.ckpt,vote,0.3042,0.6958,-1.1786,1.1786
baselines/sl/landlord.ckpt,baselines/douzero_ADP/landlord_up.ckpt,"baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.2969,0.7031,-1.2042,1.2042
baselines/sl/landlord.ckpt,baselines/sl/landlord_up.ckpt,baselines/douzero_WP/landlord_down.ckpt,vote,0.3368,0.6632,-0.7176,0.7176
baselines/sl/landlord.ckpt,baselines/sl/landlord_up.ckpt,"baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3616,0.6384,-0.7276,0.7276
baselines/sl/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt",baselines/douzero_ADP/landlord_down.ckpt,vote,0.2899,0.7101,-1.131,1.131
baselines/sl/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.2629,0.7371,-1.1748,1.1748
baselines/sl/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/sl/landlord_down.ckpt,vote,0.3448,0.6552,-0.668,0.668
baselines/sl/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.2917,0.7083,-1.0672,1.0672
baselines/sl/landlord.ckpt,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_WP/landlord_down.ckpt,vote,0.2927,0.7073,-1.0196,1.0196
baselines/sl/landlord.ckpt,"baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.3097,0.6903,-1.0872,1.0872
baselines/sl/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_WP/landlord_down.ckpt,vote,0.2623,0.7377,-1.1406,1.1406
baselines/sl/landlord.ckpt,"baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",vote,0.2691,0.7309,-1.197,1.197
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",perfectdou,perfectdou,vote,0.3853,0.6147,-0.7384,0.7384
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",perfectdou,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",vote,0.4025,0.5975,-0.5892,0.5892
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",baselines/douzero_WP/landlord_up.ckpt,perfectdou,vote,0.3838,0.6162,-0.6044,0.6044
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",baselines/douzero_WP/landlord_up.ckpt,"baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",vote,0.4002,0.5998,-0.4652,0.4652
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",baselines/douzero_ADP/landlord_up.ckpt,baselines/douzero_WP/landlord_down.ckpt,vote,0.4261,0.5739,-0.3968,0.3968
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",baselines/douzero_ADP/landlord_up.ckpt,baselines/sl/landlord_down.ckpt,vote,0.5098,0.4902,0.0114,-0.0114
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",baselines/douzero_ADP/landlord_up.ckpt,"baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4506,0.5494,-0.4404,0.4404
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",baselines/sl/landlord_up.ckpt,baselines/douzero_ADP/landlord_down.ckpt,vote,0.5178,0.4822,0.029,-0.029
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt",baselines/sl/landlord_up.ckpt,"baselines/douzero_ADP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.5045,0.4955,-0.0064,0.0064
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt",perfectdou,vote,0.3992,0.6008,-0.5808,0.5808
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4175,0.5825,-0.404,0.404
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",perfectdou,vote,0.41,0.59,-0.4826,0.4826
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/douzero_ADP/landlord_down.ckpt",vote,0.4326,0.5674,-0.3152,0.3152
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt","baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",perfectdou,vote,0.4312,0.5688,-0.4598,0.4598
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt","baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt","baselines/douzero_WP/landlord_down.ckpt, baselines/sl/landlord_down.ckpt",vote,0.4504,0.5496,-0.2676,0.2676
"baselines/douzero_WP/landlord.ckpt, baselines/douzero_ADP/landlord.ckpt","baselines/douzero_WP/landlord_up.ckpt, baselines/douzero_ADP/landlord_up.ckpt, baselines/sl/landlord_up.ckpt",baselines/douzero_WP/landlord_down.ckpt,vote,0.4063,0.5937,-0.4526,0.4526
